Post Code,Post Office Name,Post Office Level,Phone,Province,District,Commune,Address,Status,Branch,Pickup Branch,Commune EN,Commune Khmer,Phone Number,Main Branch Phone,Branch Code,Branch EN,Branch Khmer,Category,Post office level,Type,Latitude,Longitude,Search Text
BANA001,Chamnaom,AGENT,0716111197,Banteay Meanchey,Mongkol Borei,Chamnaom,"Chamnaom, Mongkol Borei, Banteay Meanchey, Cambodia",ACTIVE,BAN,BANA001,Chamnaom,Chamnaom,0716111197,0316000285,BAN,Banteay Meanchey,Banteay Meanchey,AGENT,AGENT,AGENT,13.437565,102.934632,BANA001 | Chamnaom | 0716111197 | BAN | Banteay Meanchey | Mongkol Borei | AGENT
BANA002,Paoy Paet,AGENT,068664966,Banteay Meanchey,Paoy Paet,Paoy Paet,"Paoy Paet, Paoy Paet, Banteay Meanchey, Cambodia",ACTIVE,BAN,BANA002,Paoy Paet,Paoy Paet,068664966,0316000285,BAN,Banteay Meanchey,Banteay Meanchey,AGENT,AGENT,AGENT,13.682498,102.564968,BANA002 | Paoy Paet | 068664966 | BAN | Banteay Meanchey | Paoy Paet | AGENT
BANA003,Preah Punlea,AGENT,0884844416,Banteay Meanchey,Serei Saophoan,Preah Punlea,"Preah Punlea, Serei Saophoan, Banteay Meanchey, Cambodia",ACTIVE,BAN,BANA003,Preah Punlea,Preah Punlea,0884844416,0316000285,BAN,Banteay Meanchey,Banteay Meanchey,AGENT,AGENT,AGENT,13.59106,102.973797,BANA003 | Preah Punlea | 0884844416 | BAN | Banteay Meanchey | Serei Saophoan | AGENT
BANA004,Phsar Kandal,AGENT,0882344488,Banteay Meanchey,Paoy Paet,Phsar Kandal,"Phsar Kandal, Paoy Paet, Banteay Meanchey, Cambodia",ACTIVE,BAN,BANA004,Phsar Kandal,Phsar Kandal,0882344488,0316000285,BAN,Banteay Meanchey,Banteay Meanchey,AGENT,AGENT,AGENT,13.646559,102.590885,BANA004 | Phsar Kandal | 0882344488 | BAN | Banteay Meanchey | Paoy Paet | AGENT
BANA005,Ou Ruessei,AGENT,0977842760,Banteay Meanchey,Serei Saophoan,Ou Ruessei,"Ou Ruessei, Serei Saophoan, Banteay Meanchey, Cambodia",ACTIVE,BAN,BANA005,Ou Ruessei,Ou Ruessei,0977842760,0316000285,BAN,Banteay Meanchey,Banteay Meanchey,AGENT,AGENT,AGENT,13.69538,102.651888,BANA005 | Ou Ruessei | 0977842760 | BAN | Banteay Meanchey | Serei Saophoan | AGENT
BANA006,Roluos,AGENT,067253334,Banteay Meanchey,Svay Chek,Roluos,"Roluos, Svay Chek, Banteay Meanchey, Cambodia",ACTIVE,BAN,BANA006,Roluos,Roluos,067253334,0316000285,BAN,Banteay Meanchey,Banteay Meanchey,AGENT,AGENT,AGENT,13.80385,102.96445,BANA006 | Roluos | 067253334 | BAN | Banteay Meanchey | Svay Chek | AGENT
BANA007,Phnum Touch,AGENT,0973991168,Banteay Meanchey,Mongkol Borei,Phnum Touch,"Phnum Touch, Mongkol Borei, Banteay Meanchey, Cambodia",ACTIVE,BAN,BANA007,Phnum Touch,Phnum Touch,0973991168,0316000285,BAN,Banteay Meanchey,Banteay Meanchey,AGENT,AGENT,AGENT,13.410764,103.017448,BANA007 | Phnum Touch | 0973991168 | BAN | Banteay Meanchey | Mongkol Borei | AGENT
BANA008,Paoy Char,AGENT,0889574697,Banteay Meanchey,Serei Saophoan,Paoy Char,"Paoy Char, Serei Saophoan, Banteay Meanchey, Cambodia",ACTIVE,BAN,BANA008,Paoy Char,Paoy Char,0889574697,0316000285,BAN,Banteay Meanchey,Banteay Meanchey,AGENT,AGENT,AGENT,13.774137,103.313281,BANA008 | Paoy Char | 0889574697 | BAN | Banteay Meanchey | Serei Saophoan | AGENT
BANA009,Chub Vari,AGENT,0717333545,Banteay Meanchey,Serei Saophoan,Chub Vari,"Chub Vari, Serei Saophoan, Banteay Meanchey, Cambodia",ACTIVE,BAN,BANA009,Chub Vari,Chub Vari,0717333545,0316000285,BAN,Banteay Meanchey,Banteay Meanchey,AGENT,AGENT,AGENT,13.623668,103.182027,BANA009 | Chub Vari | 0717333545 | BAN | Banteay Meanchey | Serei Saophoan | AGENT
BANA010,Banteay Chhmar,AGENT,0976111877,Banteay Meanchey,Thma Puok,Banteay Chhmar,"Banteay Chhmar, Thma Puok, Banteay Meanchey, Cambodia",ACTIVE,BAN,BANA010,Banteay Chhmar,Banteay Chhmar,0976111877,0316000285,BAN,Banteay Meanchey,Banteay Meanchey,AGENT,AGENT,AGENT,12.252597,105.977067,BANA010 | Banteay Chhmar | 0976111877 | BAN | Banteay Meanchey | Thma Puok | AGENT
BANA011,Kampong Svay,AGENT,066824778,Banteay Meanchey,Serei Saophoan,Kampong Svay,"Kampong Svay, Serei Saophoan, Banteay Meanchey, Cambodia",ACTIVE,BAN,BANA011,Kampong Svay,Kampong Svay,066824778,0316000285,BAN,Banteay Meanchey,Banteay Meanchey,AGENT,AGENT,AGENT,13.600802,102.967587,BANA011 | Kampong Svay | 066824778 | BAN | Banteay Meanchey | Serei Saophoan | AGENT
BANA012,Malai,AGENT,0313339007,Banteay Meanchey,Malai,Malai,"Malai, Malai, Banteay Meanchey, Cambodia",ACTIVE,BAN,BANA012,Malai,Malai,0313339007,0316000285,BAN,Banteay Meanchey,Banteay Meanchey,AGENT,AGENT,AGENT,13.566301,102.364078,BANA012 | Malai | 0313339007 | BAN | Banteay Meanchey | Malai | AGENT
BANA013,Thma Puok,AGENT,0974331131,Banteay Meanchey,Thma Puok,Thma Puok,"Thma Puok, Thma Puok, Banteay Meanchey, Cambodia",ACTIVE,BAN,BANA013,Thma Puok,Thma Puok,0974331131,0316000285,BAN,Banteay Meanchey,Banteay Meanchey,AGENT,AGENT,AGENT,13.941231,103.049339,BANA013 | Thma Puok | 0974331131 | BAN | Banteay Meanchey | Thma Puok | AGENT
BANA014,Koub,AGENT,0973037787,Banteay Meanchey,Ou Chrov,Koub,"Koub, Ou Chrov, Banteay Meanchey, Cambodia",ACTIVE,BAN,BANA014,Koub,Koub,0973037787,0316000285,BAN,Banteay Meanchey,Banteay Meanchey,AGENT,AGENT,AGENT,13.608353,102.764872,BANA014 | Koub | 0973037787 | BAN | Banteay Meanchey | Ou Chrov | AGENT
BANA015,Changha,AGENT,068982047,Banteay Meanchey,Ou Chrov,Changha,"Changha, Ou Chrov, Banteay Meanchey, Cambodia",ACTIVE,BAN,BANA015,Changha,Changha,068982047,0316000285,BAN,Banteay Meanchey,Banteay Meanchey,AGENT,AGENT,AGENT,13.647113,102.886313,BANA015 | Changha | 068982047 | BAN | Banteay Meanchey | Ou Chrov | AGENT
BANA016,Phnum Lieb,AGENT,0885960140,Banteay Meanchey,Preah Netr Preah,Phnum Lieb,"Phnum Lieb, Preah Netr Preah, Banteay Meanchey, Cambodia",ACTIVE,BAN,BANA016,Phnum Lieb,Phnum Lieb,0885960140,0316000285,BAN,Banteay Meanchey,Banteay Meanchey,AGENT,AGENT,AGENT,13.605432,103.312393,BANA016 | Phnum Lieb | 0885960140 | BAN | Banteay Meanchey | Preah Netr Preah | AGENT
BANA017,Punley,AGENT,0975662211,Banteay Meanchey,Serei Saophoan,Punley,"Punley, Serei Saophoan, Banteay Meanchey, Cambodia",ACTIVE,BAN,BANA017,Punley,Punley,0975662211,0316000285,BAN,Banteay Meanchey,Banteay Meanchey,AGENT,AGENT,AGENT,13.76928,103.22615,BANA017 | Punley | 0975662211 | BAN | Banteay Meanchey | Serei Saophoan | AGENT
BANA018,Sla Kram,AGENT,0972078889,Banteay Meanchey,Svay Chek,Sla Kram,"Sla Kram, Svay Chek, Banteay Meanchey, Cambodia",ACTIVE,BAN,BANA018,Sla Kram,Sla Kram,0972078889,0316000285,BAN,Banteay Meanchey,Banteay Meanchey,AGENT,AGENT,AGENT,13.832156,102.833294,BANA018 | Sla Kram | 0972078889 | BAN | Banteay Meanchey | Svay Chek | AGENT
BANA020,Banteay Neang,AGENT,067895868,Banteay Meanchey,Mongkol Borei,Banteay Neang,"Banteay Neang, Mongkol Borei, Banteay Meanchey, Cambodia",ACTIVE,BAN,BANA020,Banteay Neang,Banteay Neang,067895868,0316000285,BAN,Banteay Meanchey,Banteay Meanchey,AGENT,AGENT,AGENT,13.515097,103.017095,BANA020 | Banteay Neang | 067895868 | BAN | Banteay Meanchey | Mongkol Borei | AGENT
BANA021,Lay Kimleng,AGENT,0714497449,Banteay Meanchey,Serei Saophoan,Lay Kimleng,"Lay Kimleng, Serei Saophoan, Banteay Meanchey, Cambodia",ACTIVE,BAN,BANA021,Lay Kimleng,Lay Kimleng,0714497449,0316000285,BAN,Banteay Meanchey,Banteay Meanchey,AGENT,AGENT,AGENT,13.744488,102.962583,BANA021 | Lay Kimleng | 0714497449 | BAN | Banteay Meanchey | Serei Saophoan | AGENT
BANA022,Banteay Chhmar,AGENT,0888098099,Banteay Meanchey,Thma Puok,Banteay Chhmar,"Banteay Chhmar, Thma Puok, Banteay Meanchey, Cambodia",ACTIVE,BAN,BANA022,Banteay Chhmar,Banteay Chhmar,0888098099,0316000285,BAN,Banteay Meanchey,Banteay Meanchey,AGENT,AGENT,AGENT,14.0704,103.1043,BANA022 | Banteay Chhmar | 0888098099 | BAN | Banteay Meanchey | Thma Puok | AGENT
BANP001,Serei Saophoan,POST,0316000285,Banteay Meanchey,Serei Saophoan,Serei Saophoan,"Serei Saophoan, Serei Saophoan, Banteay Meanchey, Cambodia",ACTIVE,BAN,BANP001,Serei Saophoan,Serei Saophoan,0316000285,0316000285,BAN,Banteay Meanchey,Banteay Meanchey,POST,POST,POST,13.59572,102.97069,BANP001 | Serei Saophoan | 0316000285 | BAN | Banteay Meanchey | Serei Saophoan | POST
BANP002,Paoy Paet,POST,0977588589,Banteay Meanchey,Paoy Paet,Paoy Paet,"Paoy Paet, Paoy Paet, Banteay Meanchey, Cambodia",ACTIVE,BAN,BANP002,Paoy Paet,Paoy Paet,0977588589,0316000285,BAN,Banteay Meanchey,Banteay Meanchey,POST,POST,POST,13.648017,102.569641,BANP002 | Paoy Paet | 0977588589 | BAN | Banteay Meanchey | Paoy Paet | POST
BANS001,Ou Ambel,POST,0976868001,Banteay Meanchey,Serei Saophoan,Ou Ambel,"Ou Ambel, Serei Saophoan, Banteay Meanchey, Cambodia",ACTIVE,BAN,BANS001,Ou Ambel,Ou Ambel,0976868001,0316000285,BAN,Banteay Meanchey,Banteay Meanchey,POST,POST,POST,13.5852101,102.9724208,BANS001 | Ou Ambel | 0976868001 | BAN | Banteay Meanchey | Serei Saophoan | POST
